A,备注,晶体结构,晶格常数,晶格常数数据来源,k取值,etmx,RESULT,杨氏模量E-H,理论值,,相对误差,体积模量B_H,理论值,,相对误差,泊松比\nu_H,理论值,,相对误差,弹性刚度常数C11,理论值,,相对误差,C12,理论值,,相对误差,C44,C33,C13
,,,,,,,,GPa,GPa,数据来源,,GPa,结果/GPa,数据来源,,,结果,数据来源,,GPa,结果,数据来源,,GPa,结果,数据来源,,GPa,,
Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
镧系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Er,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
